,X,Y,Z
0,8.785,5.125,1.73
1,9.375,3.0625,0.85
2,2.135,5.845,1.6544
3,0.0,3.0625,1.39
4,8.575,5.625,0.38
5,9.375,3.0625,1.18
6,1.915,5.845,1.4476
7,9.375,3.0625,1.69
8,9.375,3.0625,1.89
9,8.575,5.625,1.13
10,1.015,5.845,0.6016
11,8.575,5.625,1.69
12,7.875,5.125,1.0475
13,9.375,3.0625,0.61
14,7.605,5.125,0.845
15,2.395,5.845,1.8988
16,0.0,3.0625,1.86
17,9.375,3.0625,0.81
18,9.375,3.0625,0.73
19,8.575,5.625,1.06
20,8.345,5.125,1.4
21,2.615,5.845,2.1056
22,6.945,5.125,0.35
23,0.0,3.0625,1.16
24,8.575,5.625,1.45
25,9.375,3.0625,1.85
26,8.575,5.625,1.48
27,7.505,5.125,0.77
28,7.345,5.125,0.65
29,1.795,5.845,1.3348
30,8.685,5.125,1.655
31,7.445,5.125,0.725
32,7.515,5.125,0.7775
33,2.055,5.845,1.5792
34,1.075,5.845,0.658
35,0.0,3.0625,1.82
36,8.575,5.625,1.35
37,0.0,3.0625,1.4
38,8.575,5.625,0.94
39,8.535,5.125,1.5425
40,8.425,5.125,1.46
41,9.375,3.0625,1.64
42,2.755,5.845,2.2372
43,7.365,5.125,0.665
44,8.575,5.625,1.75
45,7.645,5.125,0.875
46,9.375,3.0625,1.9
47,8.575,5.625,1.71
48,8.165,5.125,1.265
49,8.575,5.625,0.86
50,7.025,5.125,0.41
51,0.615,5.845,0.2256
52,2.515,5.845,2.0116
53,8.695,5.125,1.6625
54,2.835,5.845,2.3124
55,8.575,5.625,1.51
56,9.375,3.0625,1.17
57,7.405,5.125,0.695
58,2.605,5.845,2.0962
59,8.375,5.125,1.4225
60,9.035,5.125,1.9175
61,0.0,3.0625,1.71
62,9.375,3.0625,1.63
63,1.675,5.845,1.222
64,0.565,5.845,0.1786
65,8.265,5.125,1.34
66,8.675,5.125,1.6475
67,9.375,3.0625,0.5
68,0.495,5.845,0.1128
69,1.195,5.845,0.7708
70,0.0,3.0625,1.11
71,0.0,3.0625,1.1
72,1.115,5.845,0.6956
73,8.575,5.625,1.09
74,8.575,5.625,0.58
75,8.555,5.125,1.5575
76,2.745,5.845,2.2278
77,8.575,5.625,1.76
78,9.375,3.0625,0.74
79,9.375,3.0625,1.72
80,1.025,5.845,0.611
81,9.375,3.0625,1.55
82,1.465,5.845,1.0246
83,9.375,3.0625,1.92
84,9.375,3.0625,0.88
85,0.505,5.845,0.1222
86,0.0,3.0625,1.6
87,0.0,3.0625,1.46
88,0.0,3.0625,1.88
89,9.375,3.0625,1.87
90,8.875,5.125,1.7975
91,2.095,5.845,1.6168
92,2.365,5.845,1.8706
93,8.365,5.125,1.415
94,0.0,3.0625,1.91
95,1.755,5.845,1.2972
96,7.005,5.125,0.395
97,8.575,5.625,1.74
98,8.575,5.625,1.19
99,0.0,3.0625,1.22
100,7.075,5.125,0.4475
101,8.575,5.625,1.52
102,8.575,5.625,1.36
